지점,일시,평균기온,최저기온,최고기온,평균 풍속,평균 상대습도,평균 지면온도,입동여부
184,2018-11-01,13.4,11.2,16.3,3.1,58.3,15,전
184,2018-11-02,14.4,9.6,18.5,2.6,61.3,14.1,전
184,2018-11-03,15.2,11.4,18.5,2.5,62.9,14.4,전
184,2018-11-04,15.2,12.3,19.6,2.1,55.5,14.9,전
184,2018-11-05,15,10.5,18.8,2,62.5,14.4,전
184,2018-11-06,16.5,12.9,19.9,2.4,70.5,16,전
184,2018-11-07,17.4,16.1,18.8,1.9,86,16.7,입동
184,2018-11-08,17.7,15.1,20.5,3.2,83.9,16.9,후
184,2018-11-09,14.6,11.3,17.2,3.9,71.5,14.1,후
184,2018-11-10,13.6,9.7,17.8,1.8,67.4,12.2,후
184,2018-11-11,14.6,10.5,18.3,2.5,75.1,13.5,후
184,2018-11-12,13.8,13,15.5,3.7,71.5,14,후
184,2018-11-13,13.8,12.5,16.3,3.3,59.8,12.6,후
184,2018-11-14,13.3,10.2,16.3,2.4,69.9,11.4,후
184,2018-11-15,16,11.2,20.1,2.8,68.8,13.5,후
184,2018-11-16,14.9,13.5,17.4,3.4,76.3,13.9,후
184,2018-11-17,12.6,9.7,15.4,2.5,55.1,11.8,후
184,2018-11-18,12.3,9.6,15.1,2.3,52.5,11.3,후
184,2018-11-19,13.2,11.8,15.7,3,52.5,12.1,후
184,2018-11-20,12.6,10.1,15.6,3,47.9,10.9,후
184,2018-11-21,13.3,9.9,16.7,2.3,59.5,11.6,후
184,2018-11-22,10.2,8.4,13.5,4.9,56.8,10.7,후
184,2018-11-23,10,7.3,12.3,2.5,55.1,10.4,후
184,2018-11-24,14,8.8,19.2,2.7,64.8,11.4,후
184,2018-11-25,13,10.6,16,1.8,70,12.4,후
184,2018-11-26,14.5,10.4,18.2,1.9,75.1,12.1,후
184,2018-11-27,13.8,11.5,17,1.9,71.5,13.3,후
184,2018-11-28,13,10,16.3,2.3,56.9,12.3,후
184,2018-11-29,12.8,8.5,17.8,1.9,62.8,11.4,후
184,2018-11-30,13.1,10,16.9,1.7,62.8,12,후
184,2017-11-01,14.1,10.8,18.5,2.2,68,15,전
184,2017-11-02,15.6,12.2,19.6,2.1,66.3,15.6,전
184,2017-11-03,16.1,12.9,21.2,3.2,66.1,16.3,전
184,2017-11-04,11.7,8.9,13.8,4.4,54.8,14.2,전
184,2017-11-05,11.8,8.7,15.5,1.9,59.8,12.6,전
184,2017-11-06,15.8,10.1,19.8,2.5,71.8,14.8,전
184,2017-11-07,19.8,15.7,23.8,1.3,76.4,18.4,입동
184,2017-11-08,17,12.5,20.5,3.5,75.4,18.1,후
184,2017-11-09,14.4,10.1,19,2.3,63.9,13.7,후
184,2017-11-10,17.2,12.8,24.2,3.6,65.6,15.9,후
184,2017-11-11,12.2,10.5,14.5,3.6,55.8,14.1,후
184,2017-11-12,11.7,8,14.9,1.9,66.1,13.1,후
184,2017-11-13,13.2,9.4,17.1,1.9,70.8,13.6,후
184,2017-11-14,14.8,12.1,17.3,2.9,55,14.7,후
184,2017-11-15,12.6,11.1,15.3,3.4,51.6,12.8,후
184,2017-11-16,11,8.8,13.7,2.2,59,11.6,후
184,2017-11-17,12.8,8.9,15.8,2.1,64.4,12,후
184,2017-11-18,7.9,5.9,14.4,6.4,65.3,10.1,후
184,2017-11-19,8,6.5,9.8,4,54.3,10,후
184,2017-11-20,9.7,7.6,13.1,2.8,61.3,9.8,후
184,2017-11-21,9.7,6,13.5,1.9,63.3,9.5,후
184,2017-11-22,12.3,10.1,15.3,3.1,69.5,11.8,후
184,2017-11-23,9.7,8.9,11.2,5.7,51.6,9.7,후
184,2017-11-24,10.3,8.3,13,5.3,52.9,10.2,후
184,2017-11-25,12,7.7,16.2,2.5,54.1,11.1,후
184,2017-11-26,14.1,10.9,17.2,3.5,67.5,12.6,후
184,2017-11-27,9.4,7.4,11.8,2.3,65.3,9.9,후
184,2017-11-28,12.5,7,16.1,1.4,87.6,11.8,후
184,2017-11-29,12.1,9.2,14.5,2.7,74.1,12.5,후
184,2017-11-30,7.4,5,9.7,3.6,60.9,9,후
184,2016-11-01,10.9,9.8,13.7,4.8,60.5,12.4,전
184,2016-11-02,11.5,9.3,14,3.3,58.5,12.2,전
184,2016-11-03,13.7,10.6,17.7,2.7,64.4,13.4,전
184,2016-11-04,14.5,10.8,19.5,2.6,65.6,13.6,전
184,2016-11-05,16.8,11.6,22.9,2.9,67,14.7,전
184,2016-11-06,17.4,13.3,21.3,3.3,73.3,16.1,전
184,2016-11-07,18.1,15.8,21.7,3,63.9,16.5,입동
184,2016-11-08,12.6,10.5,17.7,4.5,73.1,14,후
184,2016-11-09,10.6,7.8,12.3,3.6,53.8,11.1,후
184,2016-11-10,13.1,10.9,15.2,2.8,76.1,13.1,후
184,2016-11-11,14.5,11.3,18.3,3.4,60.8,13.1,후
184,2016-11-12,15.5,9.7,20.2,1.7,53.9,12.8,후
184,2016-11-13,17.4,14.5,21.9,1.9,83.1,15.7,후
184,2016-11-14,18.7,16.7,23.2,2.2,92.8,18.4,후
184,2016-11-15,13.8,10.3,16.8,3,65.6,14.6,후
184,2016-11-16,13,8.4,16.6,2,64.6,12.1,후
184,2016-11-17,15.8,11.8,19.6,2.4,67.4,13.9,후
